Country,ISO3,Year,Life_Expectancy
Argentina,ARG,2000,73.91
Argentina,ARG,2001,74.154
Argentina,ARG,2002,74.312
Argentina,ARG,2003,74.307
Argentina,ARG,2004,74.871
Argentina,ARG,2005,75.231
Argentina,ARG,2006,75.279
Argentina,ARG,2007,74.783
Argentina,ARG,2008,75.428
Argentina,ARG,2009,75.577
Argentina,ARG,2010,75.68
Argentina,ARG,2011,76.1
Argentina,ARG,2012,75.802
Argentina,ARG,2013,75.829
Argentina,ARG,2014,76.268
Argentina,ARG,2015,76.6
Argentina,ARG,2016,76.105
Argentina,ARG,2017,76.543
Argentina,ARG,2018,76.77
Argentina,ARG,2019,76.847
Argentina,ARG,2020,75.878
Argentina,ARG,2021,73.948
Argentina,ARG,2022,75.806
Armenia,ARM,2000,72.8804878048781
Armenia,ARM,2001,72.9756097560976
Armenia,ARM,2002,72.8268292682927
Armenia,ARM,2003,72.8268292682927
Armenia,ARM,2004,73.0268292682927
Armenia,ARM,2005,73.0756097560976
Armenia,ARM,2006,72.8243902439025
Armenia,ARM,2007,72.8731707317073
Armenia,ARM,2008,73.0731707317073
Armenia,ARM,2009,73.0731707317073
Armenia,ARM,2010,73.1731707317073
Armenia,ARM,2011,73.8170731707317
Armenia,ARM,2012,74.119512195122
Armenia,ARM,2013,74.6219512195122
Armenia,ARM,2014,74.8731707317073
Armenia,ARM,2015,74.8707317073171
Armenia,ARM,2016,74.8682926829268
Armenia,ARM,2017,75.2170731707317
Armenia,ARM,2018,75.619512195122
Armenia,ARM,2019,76.2219512195122
Armenia,ARM,2020,73.3756097560976
Armenia,ARM,2021,72.2780487804878
Armenia,ARM,2022,74.7658536585366
Australia,AUS,2000,79.2341463414634
Australia,AUS,2001,79.6341463414634
Australia,AUS,2002,79.9365853658537
Australia,AUS,2003,80.2390243902439
Australia,AUS,2004,80.490243902439
Australia,AUS,2005,80.8414634146341
Australia,AUS,2006,81.0414634146342
Australia,AUS,2007,81.2926829268293
Australia,AUS,2008,81.3951219512195
Australia,AUS,2009,81.5439024390244
Australia,AUS,2010,81.6951219512195
Australia,AUS,2011,81.8951219512195
Australia,AUS,2012,82.0463414634146
Australia,AUS,2013,82.1487804878049
Australia,AUS,2014,82.3
Australia,AUS,2015,82.4
Australia,AUS,2016,82.4487804878049
Australia,AUS,2017,82.5
Australia,AUS,2018,82.7487804878049
Australia,AUS,2019,82.9
Australia,AUS,2020,83.2
Australia,AUS,2021,83.3
Australia,AUS,2022,83.2
Bangladesh,BGD,2000,62.049
Bangladesh,BGD,2001,62.836
Bangladesh,BGD,2002,63.591
Bangladesh,BGD,2003,64.288
Bangladesh,BGD,2004,64.912
Bangladesh,BGD,2005,65.509
Bangladesh,BGD,2006,66.048
Bangladesh,BGD,2007,66.458
Bangladesh,BGD,2008,67.047
Bangladesh,BGD,2009,67.527
Bangladesh,BGD,2010,68.009
Bangladesh,BGD,2011,68.499
Bangladesh,BGD,2012,68.989
Bangladesh,BGD,2013,69.487
Bangladesh,BGD,2014,70.016
Bangladesh,BGD,2015,70.543
Bangladesh,BGD,2016,71.075
Bangladesh,BGD,2017,71.606
Bangladesh,BGD,2018,72.122
Bangladesh,BGD,2019,72.625
Bangladesh,BGD,2020,71.421
Bangladesh,BGD,2021,71.103
Bangladesh,BGD,2022,74.265
Brazil,BRA,2000,69.584
Brazil,BRA,2001,69.98
Brazil,BRA,2002,70.396
Brazil,BRA,2003,70.884
Brazil,BRA,2004,71.361
Brazil,BRA,2005,71.832
Brazil,BRA,2006,72.296
Brazil,BRA,2007,72.73
Brazil,BRA,2008,73.111
Brazil,BRA,2009,73.457
Brazil,BRA,2010,73.779
Brazil,BRA,2011,74.047
Brazil,BRA,2012,74.335
Brazil,BRA,2013,74.609
Brazil,BRA,2014,74.823
Brazil,BRA,2015,75.106
Brazil,BRA,2016,75.081
Brazil,BRA,2017,75.383
Brazil,BRA,2018,75.633
Brazil,BRA,2019,75.809
Brazil,BRA,2020,74.506
Brazil,BRA,2021,73.038
Brazil,BRA,2022,74.872
Canada,CAN,2000,79.1668292682927
Canada,CAN,2001,79.3980487804878
Canada,CAN,2002,79.5307317073171
Canada,CAN,2003,79.7151219512195
Canada,CAN,2004,79.9921951219512
Canada,CAN,2005,80.1126829268293
Canada,CAN,2006,80.5436585365854
Canada,CAN,2007,80.5436585365854
Canada,CAN,2008,80.7246341463415
Canada,CAN,2009,81.0660975609756
Canada,CAN,2010,81.3221951219512
Canada,CAN,2011,81.4826829268293
Canada,CAN,2012,81.6636585365854
Canada,CAN,2013,81.7448780487805
Canada,CAN,2014,81.7843902439025
Canada,CAN,2015,81.8258536585366
Canada,CAN,2016,81.94
Canada,CAN,2017,81.8129268292683
Canada,CAN,2018,81.8087804878049
Canada,CAN,2019,82.1636585365854
Canada,CAN,2020,81.5351219512195
Canada,CAN,2021,81.5168292682927
Canada,CAN,2022,81.2453658536585
Chile,CHL,2000,77.128
Chile,CHL,2001,77.58
Chile,CHL,2002,77.84
Chile,CHL,2003,77.884
Chile,CHL,2004,78.276
Chile,CHL,2005,78.459
Chile,CHL,2006,78.533
Chile,CHL,2007,78.652
Chile,CHL,2008,78.752
Chile,CHL,2009,78.89
Chile,CHL,2010,79.095
Chile,CHL,2011,79.236
Chile,CHL,2012,79.221
Chile,CHL,2013,79.551
Chile,CHL,2014,79.714
Chile,CHL,2015,80.008
Chile,CHL,2016,80.295
Chile,CHL,2017,80.61
Chile,CHL,2018,80.559
Chile,CHL,2019,80.324
Chile,CHL,2020,79.349
Chile,CHL,2021,78.876
Chile,CHL,2022,79.176
China,CHN,2000,72.288
China,CHN,2001,72.675
China,CHN,2002,73.034
China,CHN,2003,73.385
China,CHN,2004,73.727
China,CHN,2005,74.085
China,CHN,2006,74.404
China,CHN,2007,74.789
China,CHN,2008,74.833
China,CHN,2009,75.317
China,CHN,2010,75.668
China,CHN,2011,75.889
China,CHN,2012,76.2
China,CHN,2013,76.452
China,CHN,2014,76.714
China,CHN,2015,76.975
China,CHN,2016,77.214
China,CHN,2017,77.235
China,CHN,2018,77.709
China,CHN,2019,77.94
China,CHN,2020,78.019
China,CHN,2021,78.117
China,CHN,2022,78.202
Cyprus,CYP,2000,77.9
Cyprus,CYP,2001,78.185
Cyprus,CYP,2002,78.758
Cyprus,CYP,2003,78.908
Cyprus,CYP,2004,79.007
Cyprus,CYP,2005,79.198
Cyprus,CYP,2006,79.456
Cyprus,CYP,2007,79.798
Cyprus,CYP,2008,79.906
Cyprus,CYP,2009,80.375
Cyprus,CYP,2010,80.632
Cyprus,CYP,2011,80.855
Cyprus,CYP,2012,81.128
Cyprus,CYP,2013,81.317
Cyprus,CYP,2014,81.337
Cyprus,CYP,2015,81.464
Cyprus,CYP,2016,81.534
Cyprus,CYP,2017,81.543
Cyprus,CYP,2018,81.556
Cyprus,CYP,2019,81.454
Cyprus,CYP,2020,81.23
Cyprus,CYP,2021,80.573
Cyprus,CYP,2022,80.434
Czechia,CZE,2000,74.9682926829268
Czechia,CZE,2001,75.1731707317073
