Country,ISO3,Year,Health_Expenditure,Education_Expenditure,Dependency_Ratio,Dependency_Ratio_Old,Dependency_Ratio_Young,Life_Expectancy,Mortality_Rate,average_schooling,learning_scores,GDP_percapita,trade_gdp,gov_consumption_gdp,Population,income_level,Region,log_GDP_percapita,D_2020,D_2021
Argentina,ARG,2000,8.22001076,4.58030986785889,60.8399424011737,15.536780754278,45.3031616468956,73.91,16.7,8.802,,7637.01489203628,22.6224447777343,13.7841913064131,37213984.0,Upper middle income,Latin America & Caribbean,8.940762084871592,0,0
Argentina,ARG,2001,8.37179852,4.833740234375,60.442088771688,15.6034995940423,44.8385891776457,74.154,16.2,8.87,,7141.47507662826,21.8522554515453,14.1562743129569,37624825.0,Upper middle income,Latin America & Caribbean,8.873674627361462,0,0
Argentina,ARG,2002,7.3933115,4.01734018325806,60.0100181534326,15.6661577646685,44.3438603887641,74.312,15.8,9.395,,2569.69963519124,41.7527243585642,12.235247296692,38029349.0,Upper middle income,Latin America & Caribbean,7.851544297592586,0,0
Argentina,ARG,2003,6.89451647,3.53504991531372,59.5157720560259,15.7037442216745,43.8120278343514,74.307,15.4,9.92,,3320.47775133903,40.6447480311085,11.4380567929249,38424282.0,Upper middle income,Latin America & Caribbean,8.107863952563509,0,0
Argentina,ARG,2004,7.22868252,3.48652005195618,58.9908808603745,15.7354699936422,43.2554108667324,74.871,14.9,10.01,,4242.02099089422,40.692646108947,11.114636067696,38815916.0,Upper middle income,Latin America & Caribbean,8.352795083460856,0,0
Argentina,ARG,2005,7.61078882,3.86000990867615,58.4885317167095,15.7937377274489,42.6947939892607,75.231,14.4,10.099999,,5067.65342293276,40.5512709706238,12.1418612359575,39216789.0,Upper middle income,Latin America & Caribbean,8.53063315373026,0,0
Argentina,ARG,2006,7.64032793,4.12821006774902,58.0003526705021,15.8706830163712,42.1296696541309,75.279,14.0,10.19,,5869.38028970204,40.4334798719151,12.4294153726307,39622115.0,Upper middle income,Latin America & Caribbean,8.677504334796174,0,0
Argentina,ARG,2007,7.83455086,4.46260023117065,57.5050434620378,15.93391967577,41.5711237862678,74.783,13.6,10.299999,,7185.25155147027,40.945170618571,12.9893238963619,40016763.0,Upper middle income,Latin America & Caribbean,8.87978580854331,0,0
Argentina,ARG,2008,8.1826973,4.84440994262695,57.0741876732807,16.0118370960437,41.062350577237,75.428,13.2,10.41,,8944.1102657357,40.4026733790382,13.6335132595631,40424148.0,Upper middle income,Latin America & Caribbean,9.098750523777706,0,0
Argentina,ARG,2009,9.45599556,5.53105020523071,56.735685768345,16.1379071006065,40.5977786677385,75.577,12.8,10.54,,8150.23527028221,34.0571269054879,15.903896746884,40854831.0,Upper middle income,Latin America & Caribbean,9.00580207333754,0,0
